tipo;situacao;data;hora;bairro;endereco;numero;complemento;natureza;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;natureza_acidente;detalhe_endereco_acidente;endereco_cruzamento;numero_cruzamento;referencia_cruzamento;bairro_cruzamento;vitimasfatais;DATA;num_semaforo;sentido_via;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3;Protocolo
COLISÃO COM CICLISTA;FINALIZADA;;17:05:00;VÁRZEA;RUA RODRIGUES FERREIRA;244;PROX. A PADARIA CAXANGA;;AUTO E CICLISTA;1.0;;;1.0;;;;;;1.0;COM VÍTIMA;;RUA RODRIGUES FERREIRA;244;PROX. A PADARIA CAXANGA;VÁRZEA;;2018-03-24;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;20:02:00;ESTÂNCIA;AV CAPITAO GREGORIO DE CALDAS;;AO LADO DO WALMART;;COLISÃO ENTRE MOTO E BICICLETA;;1.0;;1.0;;;;;;0.0;SEM VÍTIMA;;AV CAPITAO GREGORIO DE CALDAS;;AO LADO DO WALMART;ESTÂNCIA;;2018-03-26;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;13:38:00;CAMPO GRANDE;EST DE BELEM;;EM FRENTE AO ARMAZEM MACHADO;;COM VÍTIMA/ VT 07 NO LOCAL;;1.0;;1.0;;;;;;2.0;COM VÍTIMA;;EST DE BELEM;;EM FRENTE AO ARMAZEM MACHADO;CAMPO GRANDE;;2018-03-27;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;13:09:00;AFOGADOS;RUA COSME VIANA;;SEMAFORO 334;;AUTO E CICLISTA;1.0;;;1.0;;;;;;0.0;SEM VÍTIMA;;RUA COSME VIANA;;SEMAFORO 334;AFOGADOS;;2018-03-28;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;21:17:00;BOA VISTA;RUA MONTE CASTELO;35;PROX AO POSTO IPIRANGA SENTIDO QUARTEL;;COLISÃO C/V MOTORISTA QUER SE EVADIR DO LOCAL;1.0;;;1.0;;;;;;1.0;COM VÍTIMA;;RUA MONTE CASTELO;35;PROX AO POSTO IPIRANGA SENTIDO QUARTEL;BOA VISTA;;2018-03-29;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;17:13:00;CORDEIRO;AV CAXANGA;1832;PROX. AO HOSPITAL GETULIO VARGAS, SENTIDO CID/SUB;;ONIBUS DA MOBI E CICLISTA;;;;1.0;;1.0;;;;1.0;COM VÍTIMA;;AV CAXANGA;1832;PROX. AO HOSPITAL GETULIO VARGAS, SENTIDO CID/SUB;CORDEIRO;;2018-03-30;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;CANCELADA;;13:53:00;TORRE;AV VISCONDE DE ALBUQUERQUE;;COM RUA LOPES DE CARVALHO E/F A LOJA SPUK;;COLISAO DE DOIS AUTOS S /V;2.0;;;1.0;;;;;;0.0;;;AV VISCONDE DE ALBUQUERQUE;;COM RUA LOPES DE CARVALHO E/F A LOJA SPUK;TORRE;;2018-04-12;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;08:29:00;CAXANGÁ;AV CAXANGA;;SOBRE O VIADUTO DO BRT, SENTIDO CIDADE NA FRENTE DO BARÃO DE LUCENA;;COLISÃO COM VITIMA, CICLISTA;;;;1.0;;1.0;;;;1.0;COM VÍTIMA;;AV CAXANGA;;SOBRE O VIADUTO DO BRT, SENTIDO CIDADE NA FRENTE DO BARÃO DE LUCENA;CAXANGÁ;;2018-04-14;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;07:55:00;CAXANGÁ;AV CAXANGA;3372;AO LADO DO BANCO SANTENDER , SNTIDO CAMARAGIBE;;ATROPELAMENTO A UM CICLISTA;;;;1.0;;1.0;;;;1.0;COM VÍTIMA;;AV CAXANGA;3372;AO LADO DO BANCO SANTENDER , SNTIDO CAMARAGIBE;CAXANGÁ;;2018-04-17;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;;15:10:00;JOANA BEZERRA;VIADUTO CAPITAO TEMUDO;;EM CIMA DO VIADUTO/ SENTIDO BOA VIAGEM;;COLISÃO SEM VÍTIMA;2.0;;;1.0;;;;;;0.0;SEM VÍTIMA;;VIADUTO CAPITAO TEMUDO;;EM CIMA DO VIADUTO/ SENTIDO BOA VIAGEM;JOANA BEZERRA;;2018-04-20;;;;;;;;;;;;;;;;
