tipo;situacao;data;hora;bairro;endereco;numero;complemento;natureza;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;natureza_acidente;detalhe_endereco_acidente;endereco_cruzamento;numero_cruzamento;referencia_cruzamento;bairro_cruzamento;vitimasfatais;DATA;num_semaforo;sentido_via;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3;Protocolo
COM VÍTIMA;FINALIZADA;2015-06-09;10:15:00.000;DOIS IRMÃOS;RUA MANUEL DE MEDEIROS;314.0;UFRPE;COLISÃO COM CICLISTA;COLISÃO ENTRE AUTO E BICICLETA;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
SEM VÍTIMA;CANCELADA;2015-06-13;10:43:00.000;IMBIRIBEIRA;RUA ARQUITETO LUIZ NUNES;;;COLISÃO COM CICLISTA;CONDUTOR DO AUTOMOVEL COLIDIU COM CICLISTA;1.0;;;1.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;
SEM VÍTIMA;FINALIZADA;2015-07-17;09:37:00.000;VASCO DA GAMA;RUA VASCO DA GAMA;;SUBIDA DO VISGUEIRO  PROXIMO AO MERCADINHO MEU REI;COLISÃO COM CICLISTA;COLISÃO ENTRE UMA MOTO E UMA BICIRETA SEM VITIMA;;1.0;;1.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-07-02;08:25:00.000;CAXANGÁ;AV CAXANGA;;E/F A UPA  DA CAXANGA   SENTIDO   SUBURBIO;COLISÃO;COLISÃO  COM 1 VITIMA SOCORRIDA  PELO  SAMU;;;;1.0;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;CANCELADA;2015-07-08;15:14:00.000;AFOGADOS;EST DOS REMEDIOS;490.0;APÓS POSTO TOTAL, SENTIDO ABDIAS DE CARVALHO;COLISÃO;"01 AUTO; 01 BICICLETA";1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-07-09;19:03:00.000;IMBIRIBEIRA;RUA ARQUITETO LUIZ NUNES;;PROX A ALAGOA DO ARAÇA;COLISÃO COM CICLISTA;AUTO E CICLISTA;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;CANCELADA;2015-06-15;16:17:00.000;DOIS UNIDOS;AV HILDEBRANDO DE VASCONCELOS;;EM FRENTE  A ANTIGA MINERVA  /   SENTIDO   SUBÚRBIO;COLISÃO COM CICLISTA;MOTO E BICICLETA;;1.0;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
VÍTIMA FATAL;FINALIZADA;2015-06-15;23:24:00.000;AREIAS;AV RECIFE;;ENFR AO IPER BOM PREÇO SENTIDO A JUSTIÇA FEDERAL;COLISÃO COM CICLISTA;AUTO E BICICLETA A VITIMAL FOI  FATAL;1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-06-17;08:27:00.000;CAXANGÁ;AV CAXANGA;;ELEVADO CAXANGÁ;COLISÃO COM CICLISTA;COLISÃO ENTRE AUTO E CICLISTA;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-06-21;13:28:00.000;JARDIM SÃO PAULO;AV RECIFE;;SAÍDA DE JARDIM SÃO PAULO - VT 15 NO QTH;COLISÃO COM CICLISTA;COLISÃO ENTRE MOTOCICLETA E CICLISTA - VITIMA ( MOTO ) SENDO SOCORRIDA PELOS BOMBEIROS;;1.0;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-06-23;09:34:00.000;TORRE;AV BEIRA RIO;;SEMFORO Nº630;COLISÃO COM CICLISTA;COM CICLISTA JA SOCORRIDO;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-06-26;20:54:00.000;TORRE;RUA JOSE DE HOLANDA;;ENF A PRAÇA DA TORRE \;COLISÃO COM CICLISTA;ENTRE UM AUTO E UMA BICICLETA;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;CANCELADA;2015-06-27;08:54:00.000;CAMPO GRANDE;EST DE BELEM;;PROX AO GIRADOURO SITIO NOVO E/F A IGREJA BATISTA;COLISÃO COM CICLISTA;COLISÃO  COM 1 VITIMA SOCORRIDA PELO SAMU  IC ENCONTRA SE JA NO LOCAL AGUARDANDO A EQUIPE DA CTTU;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;CANCELADA;2015-07-20;22:09:00.000;MANGABEIRA;RUA DA MANGABEIRA;;PROXIMO A IGREJA BATISTA E O CLUBE MANGABEIRA;COLISÃO COM CICLISTA;AUTO - CICLISTA;1.0;;;1.0;;;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;
SEM VÍTIMA;EM ATENDIMENTO;2015-07-30;15:46:00.000;ESPINHEIRO;RUA DO ESPINHEIRO;462.0;E/F AO BAR VAGÃO;COLISÃO COM CICLISTA;01 AUTO 01 BICICLETA;1.0;;;1.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-08-03;18:58:00.000;MADALENA;RUA JOSE OSORIO;;AO LADO DA SENA AUTOMOVEIS;COLISÃO;COLISÃO ENTRE UM CAMINHÃO E UMA BICICLETA;;;;1.0;;;1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-08-03;22:57:00.000;CABANGA;AV SUL;;E/F AO SEMAFORO 260;COLISÃO COM CICLISTA;AUTO - BICICLETA;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-08-05;15:46:00.000;AFOGADOS;RUA COSME VIANA;122.0;EM FRENTE AO POSTO SETTA / PROX AO  POSTO DA SERTEL;COLISÃO;AUTO E BICICLETA;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-08-06;07:13:00.000;ROSARINHO;RUA HIPOLITO BRAGA;181.0;POR TRÁS DA PRAÇA DO ROSARINHO EDF ALICE QUEIROS;COLISÃO;COLISÃO COM VITIMA ENTRE UM AUTO-PASSEIO E UMA BICICLETA;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
SEM VÍTIMA;CANCELADA;2015-08-06;10:41:00.000;BOA VIAGEM;RUA RIBEIRO DE BRITO;554.0;EM FRENTE AO EMPRESARIAL MONTEIRO DE MELO;COLISÃO;COLISÃO  SEM VITIMA ENTRE UM AUTO-PASSEIO E UMa BICICLETA;1.0;;;1.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-08-06;16:53:00.000;AREIAS;AV TAPAJOS;;EM FRENTE AO BODE DO NÓ;COLISÃO;COLISÃO MOTO E BICICLETA;;1.0;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;EM ATENDIMENTO;2015-09-02;06:24:00.000;SANTO ANTÔNIO;AV MARTINS DE BARROS;;E/F  AO PALACIO DO GOVERNO;COLISÃO COM CICLISTA;COLISÃO COM 1 VITIMA ENTRE CICLISTA E AUTO  PASSEIO;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-09-03;20:48:00.000;JARDIM SÃO PAULO;PRC DO JARDIM SAO PAULO;;ENTRADA DE JARDIM SÃO PAULO \ ENF A LOJA ARQUI PEDRA;COLISÃO COM CICLISTA;BICICLETA COM AUTO;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-09-13;14:04:00.000;BOA VIAGEM;RUA ERNESTO DE PAULA SANTOS;636.0;PX AO SEMAFARO 304;COLISÃO COM CICLISTA;ATROPELAMENTO DE CICLISTA;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-10-02;19:31:00.000;IPUTINGA;EST DO BARBALHO;;EM FRENTE AO DETRAN;COLISÃO COM CICLISTA;C/V ENTRE UM MOTO E UMA BICICLETA;1.0;;;1.0;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;EM ATENDIMENTO;2015-10-09;17:33:00.000;PINA;AV ENGENHEIRO DOMINGOS FERREIRA;;EM FRENTE AO ARMAZEM BEIRA MAR/ SENT BOA VIAGEM / APOS A IGREJA DO PINA /APOS A CURVA;COLISÃO;AUTO E BICICLETA;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-11-05;19:56:00.000;CABANGA;RUA NOVA DA CABANGA;;AO LADO DA COMPESA EM CIMA DA PONTE DO PINA \ SENT BOA VIAGEM;COLISÃO COM CICLISTA;ONIBUS E BICICLETA;;;;1.0;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-11-06;09:45:00.000;BOA VISTA;AV GOVERNADOR CARLOS DE LIMA CAVALCANTI;;AO LADO DO ANTIGO COSTUREIRA;COLISÃO COM CICLISTA;COLISÃO COM VÍTIMA;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
VÍTIMA FATAL;FINALIZADA;2015-11-06;10:02:00.000;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;1234.0;em frente ao tacaruna;COLISÃO COM CICLISTA;auto colidiu com ciclista;2.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-11-09;07:05:00.000;SAN MARTIN;AV CONSUL VILARES FRAGOSO;;AO LADO DA CAVALARIA;COLISÃO COM CICLISTA;COL.C/V SET.AV GENERAL SAN MARTINS;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;CANCELADA;2015-11-14;10:56:00.000;JARDIM SÃO PAULO;RUA LEOBINA PEREIRA;;NA RUA DA PIZZARIA DOS GEMEOS;COLISÃO COM CICLISTA;COLISÃO COM CICLISTA;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
SEM VÍTIMA;FINALIZADA;2015-11-15;15:16:00.000;BOA VIAGEM;RUA ANTONIO FALCAO;384.0;;COLISÃO COM CICLISTA;VT 08 NO QTH;1.0;;;1.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;
SEM VÍTIMA;CANCELADA;2015-12-01;17:41:00.000;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;75.0;PRACA DO DERBY;COLISÃO COM CICLISTA;TESTE/ TESTE/ 0;1.0;;;5.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;
SEM VÍTIMA;CANCELADA;2015-09-16;10:19:00.000;BOA VIAGEM;RUA BARAO DE SOUZA LEAO;;AO LADO DO HOSPITAL NOSSA SENHORA DAS GRAÇAS (ANTIGO ALFA);COLISÃO COM CICLISTA;COLISÃO ENTRE ONIBUS E BICICLETA SEM VITIMA;;;;1.0;;1.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-09-19;07:18:00.000;TAMARINEIRA;EST DO ARRAIAL;2224.0;E/F A CASAS   JOSE ARAUJO;COLISÃO COM CICLISTA;COLISÃO COM 1 VITIMA A ESPERA DO SAMU;;;;1.0;;;1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-09-26;20:19:00.000;IPUTINGA;RUA MAURICIO DE NASSAU;;ESQUINA COM A ESTRADA DO BARBALHO;COLISÃO COM CICLISTA;AUTO - CICLISTA;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-10-17;20:29:00.000;BARRO;RUA NOVO HORIZONTE;;TERMINAL DE ONIBUS JARDIM ANCHOA NA GARAGEM DA METROPOLITANA;ATROPELAMENTO;ONIBUS E CICLISTA;;;;1.0;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-10-20;14:56:00.000;CASA FORTE;EST DO ARRAIAL;;CRUZAMENTO COM A RUA DA HARMONIA;COLISÃO;MOTO X BICICLETA;;1.0;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;CANCELADA;2015-11-16;19:09:00.000;SAN MARTIN;AV JOAO CABRAL DE MELO NETO;;SENTIDO ABDIAS, NO NUMERO 756;COLISÃO COM CICLISTA;AUTO E BICICLETA;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-11-17;06:33:00.000;BOA VISTA;AV JOAO DE BARROS;;EM FRENTE AO CORPO DE BOMBEIRO;COLISÃO COM CICLISTA;ATRPELAMENTO COM CILISTA;;;;1.0;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;CANCELADA;2015-11-17;15:21:00.000;DOIS UNIDOS;AV HILDEBRANDO DE VASCONCELOS;224.0;PROX A AGUA MINARAL;COLISÃO COM CICLISTA;MOTO E BICICLETA;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
SEM VÍTIMA;CANCELADA;2015-11-17;18:28:00.000;ARRUDA;RUA CONEGO BARATA;10000.0;ENF AO RESIDENCIAL VILA COINGRA \;COLISÃO COM CICLISTA;MOTO E BICICLETA;;1.0;;1.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-11-19;14:01:00.000;CASA FORTE;EST DO ENCANAMENTO;;EM FRENTE AO VERDE FRUTE;COLISÃO COM CICLISTA;ATROPELAMENTO;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-11-22;23:01:00.000;ALTO DO MANDU;AV NORTE;;PROX A EMPRSA GLOBO SENTIDO CIDADE E MATERNIDADE BARRO LIMAS;COLISÃO COM CICLISTA;MOTO E CICLISTA;;1.0;;1.0;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-11-24;21:50:00.000;SANTO AMARO;RUA TREZE DE MAIO;;SEMAFORO 428 PROX AO CIMITERIO;COLISÃO COM CICLISTA;DOIS AUTO E CILISTA;2.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-11-24;21:55:00.000;PINA;AV ENGENHEIRO DOMINGOS FERREIRA;;PROX A IGREJA DO PINA \ A POIS A PRAÇA \ SENT PIEDADE \ ENF AO POSTO TOTAL;COLISÃO COM CICLISTA;BICICLETA E AUTO;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-11-26;13:00:00.000;CASA FORTE;AV DEZESSETE DE AGOSTO;;EM FRENTE AO PLAZA SHOPING;COLISÃO COM CICLISTA;COLISÃO ENTRE AUTO E CICLISTA;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
SEM VÍTIMA;FINALIZADA;2015-11-28;00:10:00.000;ILHA DO RETIRO;AV ENGENHEIRO ABDIAS DE CARVALHO;;EM FRENTE AO POSTO EXTRA DA ABDIAS;COLISÃO COM CICLISTA;COLISAO ENTRE DOIS AUTOS E UMA MOTO QUE ATINGIU UM CICLISTA  OBS A VT 08 ESTA NO LOCAL;3.0;;;1.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-08-25;13:55:00.000;ENCRUZILHADA;RUA PEDRO ALVES;;POR TRAS DO MERCARDO DA ENCRUZILHADA, NA PRAÇA DOS CAMINHONEIROS;ATROPELAMENTO;AUTO E CICLISTA, VITIMA JA SOCORRIDA PELO SAMU;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-12-15;08:02:00.000;ESPINHEIRO;RUA BARAO DE ITAMARACA;;EM FRENTE AO HAPVIDA;COLISÃO COM CICLISTA;ATROPELAMENTO DE CICLISTA AGUARDANDO A CHEGADA DOS BOMBEIROS;;1.0;;1.0;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-12-17;16:30:00.000;CAMPO GRANDE;RUA FARIAS NEVES;2.0;EM FRENTE AO COLÉGIO JANDIRA BOTELHO;COLISÃO COM CICLISTA;COLISÃO COM VÍTIMA;;1.0;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
SEM VÍTIMA;FINALIZADA;2015-12-19;10:42:00.000;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;EM FRENNTE DA FERREIRRA COSTA;COLISÃO;COL.S//V.SET.CD;1.0;1.0;;1.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;CANCELADA;2015-12-23;11:35:00.000;CABANGA;RUA CAPITAO TEMUDO;;NO FFINAL DO VIADUTO DO CABANGA;COLISÃO COM CICLISTA;COL.C/V SET BOA VIAGEM;;1.0;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-12-23;11:44:00.000;BOA VIAGEM;RUA SETUBAL;278.0;E/F  AO EDIFICIO  ITACOATIARA  VILLAGE;COLISÃO;COLISÃO  COM 1 VITIMA ENTRE 2 AUTOS E UM CICLISTA;2.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;CANCELADA;2015-08-30;15:27:00.000;IPUTINGA;AV CAXANGA;;PROXIMO AO ELEVADO;COLISÃO COM CICLISTA;;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;EM ATENDIMENTO;2015-12-26;22:01:00.000;BOA VISTA;AV GOVERNADOR AGAMENON MAGALHAES;;PROX A CAIXA ECONOMICA FEDERAL;COLISÃO;CICLISTA E  AUTO VT DA CTTU 10 ESTA NO LOCAL;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-12-27;13:52:00.000;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;SEMAFORO 741 SNT. AFOGADOS;COLISÃO;AUTO X BICICLETA;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-12-29;17:00:00.000;IPSEP;RUA PINTOR ANTONIO ALBUQUERQUE;;EM FRENTE AO MARTELINHO DE OURO E PROX. DO SINDICATO DOAS TAXISTAS;COLISÃO COM CICLISTA;COLISÃO COM VÍTIMA;;1.0;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;CANCELADA;2015-10-29;17:30:00.000;BOA VISTA;AV GOVERNADOR CARLOS DE LIMA CAVALCANTI;;EM FRENTE A FACULDADE DOS GUARARAPES;COLISÃO;AUTO E BICICLETA;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
SEM VÍTIMA;CANCELADA;2015-10-30;14:58:00.000;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;EM FRENTE A FLOR E ARTE;COLISÃO COM CICLISTA;SITUAÇÃO VISTA PELA EQUIPE DE MONITORAMENTO;;;;1.0;;1.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-10-30;18:32:00.000;ENCRUZILHADA;AV NORTE;;CRUZAMENTO COM A RUA DR. JOSE MARIA;COLISÃO;MOTO X BICICLETA;;1.0;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;CANCELADA;2016-01-05;18:50:00;IBURA;AV ENGENHO SERRA VERDE;850;APOS A CLINICA DR. DO BEM, SENTIDO CENTRO, UR3, PROX. A PADARIA MARAJOR;;COLISÃO ENTRE AUTO E CICLISTA, C/V;1.0;;;1.0;;;;;;1.0;COM VÍTIMA;;AV ENGENHO SERRA VERDE;850;APOS A CLINICA DR. DO BEM, SENTIDO CENTRO, UR3, PROX. A PADARIA MARAJOR;IBURA;;;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;2016-01-06;18:40:00;CASA AMARELA;RUA ALTO JOSE BONIFACIO;149;PROX. A FEIRA DA RODINHA;;VEICULO COLIDIO COM CICLISTA, ONDE A VITIMA JA FOI SOCORRIDA;1.0;;;1.0;;;;;;1.0;COM VÍTIMA;;RUA ALTO JOSE BONIFACIO;149;PROX. A FEIRA DA RODINHA;CASA AMARELA;;;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;CANCELADA;2016-01-10;09:56:00;CASA AMARELA;AV NORTE;182;E/F AO OFERTÃO SUPERMERCADO, SENTIDO SUBÚRBIO.(SEMÁFORO Nº 065);;SEM VÍTIMAS.;;;;1.0;;;1.0;;;0.0;SEM VÍTIMA;;AV NORTE;182;E/F AO OFERTÃO SUPERMERCADO, SENTIDO SUBÚRBIO.(SEMÁFORO Nº 065);CASA AMARELA;;;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;2016-01-11;16:16:00;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;;EM BAIXO DO VIADUTO TACARUNA;;MOTO E BICICLETA;1.0;;;1.0;;;;;;0.0;SEM VÍTIMA;;AV GOVERNADOR AGAMENON MAGALHAES;0;EM BAIXO DO VIADUTO TACARUNA;SANTO AMARO;;;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;2016-01-12;08:28:00;TORREÃO;RUA MARECHAL DEODORO;662;EM FRENTE A ESCOLA DOM CARLOS COELHO;;COLISÃO COM VÍTIMA;1.0;;;1.0;;;;;;1.0;COM VÍTIMA;;RUA MARECHAL DEODORO;662;EM FRENTE A ESCOLA DOM CARLOS COELHO;TORREÃO;;;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;CANCELADA;2016-01-13;13:13:00;BRASÍLIA TEIMOSA;RUA DAGOBERTO PIRES;136;E/F DA ASSISTENCIA TECNICA DA CALOI;;ATROPELAMENTO DE MOTO COM UM CICLISTA;1.0;;;1.0;;;;;;1.0;COM VÍTIMA;;RUA DAGOBERTO PIRES;136;E/F DA ASSISTENCIA TECNICA DA CALOI;BRASÍLIA TEIMOSA;;;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;2016-01-26;09:55:00;IMBIRIBEIRA;RUA ARQUITETO LUIZ NUNES;;CRUZ COM A AV ENGENHEIRO ALVES DE SOUZA E/F A CONCESSIONARIA HONDA;;COLISÃO COM VITIMA A ESPERA DO SAMU ENTRE CICLISTA E AUTO;1.0;;;1.0;;;;;;1.0;COM VÍTIMA;;RUA ARQUITETO LUIZ NUNES;0;CRUZ COM A AV ENGENHEIRO ALVES DE SOUZA E/F A CONCESSIONARIA HONDA;IMBIRIBEIRA;;;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;CANCELADA;2016-01-29;09:42:00;SAN MARTIN;AV GENERAL SAN MARTIN;330;EM FRENTE AO GETULIO VARGAS;;COLISÃO ENTRE UMA MOTO E UMA BICICLETA COM DUAS VITIMAS JÁ SOCORRIDA PELO SAMU ORIENTADOR NO LOCAL;;1.0;;1.0;;;;;;2.0;COM VÍTIMA;;AV GENERAL SAN MARTIN;330;EM FRENTE AO GETULIO VARGAS;SAN MARTIN;;;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;2016-02-01;09:15:00;CAMPO GRANDE;EST DE BELEM;;E/F A PIZZARIA PASSIRA;;COLISÃO COM 2 VITIMAS ENTRE CICLISTA E AUTO;;1.0;;1.0;;;;;;2.0;COM VÍTIMA;;EST DE BELEM;0;E/F A PIZZARIA PASSIRA;CAMPO GRANDE;;;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;2016-02-02;06:20:00;ROSARINHO;AV NORTE;3109;AO LADO DA PADARIA ROSARINHO;;COLISÃO SEM VÍTIMA;2.0;;;1.0;;;;;;0.0;SEM VÍTIMA;;AV NORTE;3109;AO LADO DA PADARIA ROSARINHO;ROSARINHO;;;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;2016-02-08;17:37:00;CAXANGÁ;AV CAXANGA;;EM FRENTE A FARMACIA BIG BEN;;COLISAO ENTRE MOTO E CICLISTA;;1.0;;1.0;;;;;;2.0;COM VÍTIMA;;AV CAXANGA;0;EM FRENTE A FARMACIA BIG BEN;CAXANGÁ;;;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;CANCELADA;2016-02-15;19:58:00;MADALENA;EST DOS REMEDIOS;2343;EM FRENTE A PB AUTO PEÇAS;;COLISÃO ENTRE AUTO E KOMBI S/V;1.0;;;1.0;;;;;1.0;0.0;SEM VÍTIMA;;EST DOS REMEDIOS;2343;EM FRENTE A PB AUTO PEÇAS;MADALENA;;;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;2016-02-17;22:43:00;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;;E/F AO POSTO TOTAL;;ATROPELAMENTO DE CICLISTA;1.0;;;1.0;;;;;;1.0;COM VÍTIMA;;AV ENGENHEIRO DOMINGOS FERREIRA;0;E/F AO POSTO TOTAL;BOA VIAGEM;;;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;2016-02-28;06:57:00;TORRÕES;RUA GOMES TABORDA;;CRUZAMENTO COM MIGUEL VIEIRA FERREIRA;;;;;;1.0;;;;;;;VÍTIMA FATAL;;RUA GOMES TABORDA;0;CRUZAMENTO COM MIGUEL VIEIRA FERREIRA;TORRÕES;1.0;;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;2016-03-01;19:00:00;BAIRRO DO RECIFE;CAIS DO APOLO;;EM FRENTE A POLICIA FEDERAL;;AUTO E CICLISTA;1.0;;;1.0;;;;;;1.0;COM VÍTIMA;;CAIS DO APOLO;0;EM FRENTE A POLICIA FEDERAL;BAIRRO DO RECIFE;;;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;FINALIZADA;2016-03-09;10:22:00;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;;SENAFORO 200;;COLISÃO AUTO E BICICLETA;1.0;;;1.0;;;;;;0.0;SEM VÍTIMA;;AV ENGENHEIRO DOMINGOS FERREIRA;0;SENAFORO 200;BOA VIAGEM;;;;;;;;;;;;;;;;;;
COLISÃO COM CICLISTA;EM ABERTO;2016-03-10;21:13:00;ÁGUA FRIA;RUA JAPARANDUBA;;EM FRENTE AO SENAI;;AUTO E CICLISTA;1.0;;;1.0;;;;;;1.0;COM VÍTIMA;;RUA JAPARANDUBA;0;EM FRENTE AO SENAI;ÁGUA FRIA;;;;;;;;;;;;;;;;;;
